date,city,product,category,tier,population_weight,demand_units
2022-01-03,Mumbai,Paracetamol,fever_cold,metro,1.0,3023
2022-01-03,Mumbai,Azithromycin,antibiotic,metro,1.0,1770
2022-01-03,Mumbai,ORS Sachets,OTC,metro,1.0,2194
2022-01-03,Mumbai,Cetirizine,OTC,metro,1.0,1774
2022-01-03,Mumbai,Metformin,chronic,metro,1.0,1384
2022-01-03,Mumbai,Insulin Glargine,chronic,metro,1.0,791
2022-01-03,Mumbai,Omeprazole,gastro,metro,1.0,1505
2022-01-03,Mumbai,Amoxicillin,antibiotic,metro,1.0,2293
2022-01-03,Mumbai,Vitamin D3,chronic,metro,1.0,977
2022-01-03,Mumbai,Ibuprofen,fever_cold,metro,1.0,2699
2022-01-03,Pune,Paracetamol,fever_cold,metro,0.75,2060
2022-01-03,Pune,Azithromycin,antibiotic,metro,0.75,1275
2022-01-03,Pune,ORS Sachets,OTC,metro,0.75,1554
2022-01-03,Pune,Cetirizine,OTC,metro,0.75,867
2022-01-03,Pune,Metformin,chronic,metro,0.75,959
2022-01-03,Pune,Insulin Glargine,chronic,metro,0.75,583
2022-01-03,Pune,Omeprazole,gastro,metro,0.75,876
2022-01-03,Pune,Amoxicillin,antibiotic,metro,0.75,1634
2022-01-03,Pune,Vitamin D3,chronic,metro,0.75,716
2022-01-03,Pune,Ibuprofen,fever_cold,metro,0.75,1649
2022-01-03,Nagpur,Paracetamol,fever_cold,tier1,0.55,999
2022-01-03,Nagpur,Azithromycin,antibiotic,tier1,0.55,530
2022-01-03,Nagpur,ORS Sachets,OTC,tier1,0.55,611
2022-01-03,Nagpur,Cetirizine,OTC,tier1,0.55,376
2022-01-03,Nagpur,Metformin,chronic,tier1,0.55,412
2022-01-03,Nagpur,Insulin Glargine,chronic,tier1,0.55,243
2022-01-03,Nagpur,Omeprazole,gastro,tier1,0.55,348
2022-01-03,Nagpur,Amoxicillin,antibiotic,tier1,0.55,664
2022-01-03,Nagpur,Vitamin D3,chronic,tier1,0.55,293
2022-01-03,Nagpur,Ibuprofen,fever_cold,tier1,0.55,752
2022-01-03,Thane,Paracetamol,fever_cold,tier1,0.5,744
2022-01-03,Thane,Azithromycin,antibiotic,tier1,0.5,605
2022-01-03,Thane,ORS Sachets,OTC,tier1,0.5,549
2022-01-03,Thane,Cetirizine,OTC,tier1,0.5,360
2022-01-03,Thane,Metformin,chronic,tier1,0.5,401
2022-01-03,Thane,Insulin Glargine,chronic,tier1,0.5,207
2022-01-03,Thane,Omeprazole,gastro,tier1,0.5,365
2022-01-03,Thane,Amoxicillin,antibiotic,tier1,0.5,442
2022-01-03,Thane,Vitamin D3,chronic,tier1,0.5,257
2022-01-03,Thane,Ibuprofen,fever_cold,tier1,0.5,718
2022-01-03,Nashik,Paracetamol,fever_cold,tier1,0.42,714
2022-01-03,Nashik,Azithromycin,antibiotic,tier1,0.42,424
2022-01-03,Nashik,ORS Sachets,OTC,tier1,0.42,454
2022-01-03,Nashik,Cetirizine,OTC,tier1,0.42,334
2022-01-03,Nashik,Metformin,chronic,tier1,0.42,299
2022-01-03,Nashik,Insulin Glargine,chronic,tier1,0.42,178
2022-01-03,Nashik,Omeprazole,gastro,tier1,0.42,286
2022-01-03,Nashik,Amoxicillin,antibiotic,tier1,0.42,547
2022-01-03,Nashik,Vitamin D3,chronic,tier1,0.42,235
2022-01-03,Nashik,Ibuprofen,fever_cold,tier1,0.42,487
2022-01-03,Aurangabad,Paracetamol,fever_cold,tier1,0.38,621
2022-01-03,Aurangabad,Azithromycin,antibiotic,tier1,0.38,359
2022-01-03,Aurangabad,ORS Sachets,OTC,tier1,0.38,376
2022-01-03,Aurangabad,Cetirizine,OTC,tier1,0.38,337
2022-01-03,Aurangabad,Metformin,chronic,tier1,0.38,308
2022-01-03,Aurangabad,Insulin Glargine,chronic,tier1,0.38,175
2022-01-03,Aurangabad,Omeprazole,gastro,tier1,0.38,249
2022-01-03,Aurangabad,Amoxicillin,antibiotic,tier1,0.38,423
2022-01-03,Aurangabad,Vitamin D3,chronic,tier1,0.38,212
2022-01-03,Aurangabad,Ibuprofen,fever_cold,tier1,0.38,587
2022-01-03,Solapur,Paracetamol,fever_cold,tier2,0.3,247
2022-01-03,Solapur,Azithromycin,antibiotic,tier2,0.3,158
2022-01-03,Solapur,ORS Sachets,OTC,tier2,0.3,150
2022-01-03,Solapur,Cetirizine,OTC,tier2,0.3,116
2022-01-03,Solapur,Metformin,chronic,tier2,0.3,131
2022-01-03,Solapur,Insulin Glargine,chronic,tier2,0.3,77
2022-01-03,Solapur,Omeprazole,gastro,tier2,0.3,116
2022-01-03,Solapur,Amoxicillin,antibiotic,tier2,0.3,212
2022-01-03,Solapur,Vitamin D3,chronic,tier2,0.3,92
2022-01-03,Solapur,Ibuprofen,fever_cold,tier2,0.3,216
2022-01-03,Kolhapur,Paracetamol,fever_cold,tier2,0.28,251
2022-01-03,Kolhapur,Azithromycin,antibiotic,tier2,0.28,179
2022-01-03,Kolhapur,ORS Sachets,OTC,tier2,0.28,167
2022-01-03,Kolhapur,Cetirizine,OTC,tier2,0.28,150
2022-01-03,Kolhapur,Metformin,chronic,tier2,0.28,102
2022-01-03,Kolhapur,Insulin Glargine,chronic,tier2,0.28,70
2022-01-03,Kolhapur,Omeprazole,gastro,tier2,0.28,110
2022-01-03,Kolhapur,Amoxicillin,antibiotic,tier2,0.28,170
2022-01-03,Kolhapur,Vitamin D3,chronic,tier2,0.28,84
2022-01-03,Kolhapur,Ibuprofen,fever_cold,tier2,0.28,172
2022-01-03,Amravati,Paracetamol,fever_cold,tier2,0.25,211
2022-01-03,Amravati,Azithromycin,antibiotic,tier2,0.25,141
2022-01-03,Amravati,ORS Sachets,OTC,tier2,0.25,183
2022-01-03,Amravati,Cetirizine,OTC,tier2,0.25,106
2022-01-03,Amravati,Metformin,chronic,tier2,0.25,101
2022-01-03,Amravati,Insulin Glargine,chronic,tier2,0.25,58
2022-01-03,Amravati,Omeprazole,gastro,tier2,0.25,106
2022-01-03,Amravati,Amoxicillin,antibiotic,tier2,0.25,164
2022-01-03,Amravati,Vitamin D3,chronic,tier2,0.25,73
2022-01-03,Amravati,Ibuprofen,fever_cold,tier2,0.25,202
2022-01-03,Nanded,Paracetamol,fever_cold,tier2,0.22,192
2022-01-03,Nanded,Azithromycin,antibiotic,tier2,0.22,133
2022-01-03,Nanded,ORS Sachets,OTC,tier2,0.22,118
2022-01-03,Nanded,Cetirizine,OTC,tier2,0.22,95
2022-01-03,Nanded,Metformin,chronic,tier2,0.22,91
2022-01-03,Nanded,Insulin Glargine,chronic,tier2,0.22,49
2022-01-03,Nanded,Omeprazole,gastro,tier2,0.22,88
2022-01-03,Nanded,Amoxicillin,antibiotic,tier2,0.22,143
2022-01-03,Nanded,Vitamin D3,chronic,tier2,0.22,66
2022-01-03,Nanded,Ibuprofen,fever_cold,tier2,0.22,165
2022-01-03,Sangli,Paracetamol,fever_cold,tier2,0.2,148
2022-01-03,Sangli,Azithromycin,antibiotic,tier2,0.2,103
2022-01-03,Sangli,ORS Sachets,OTC,tier2,0.2,114
2022-01-03,Sangli,Cetirizine,OTC,tier2,0.2,81
2022-01-03,Sangli,Metformin,chronic,tier2,0.2,83
2022-01-03,Sangli,Insulin Glargine,chronic,tier2,0.2,49
2022-01-03,Sangli,Omeprazole,gastro,tier2,0.2,93
2022-01-03,Sangli,Amoxicillin,antibiotic,tier2,0.2,129
2022-01-03,Sangli,Vitamin D3,chronic,tier2,0.2,61
2022-01-03,Sangli,Ibuprofen,fever_cold,tier2,0.2,152
2022-01-03,Jalgaon,Paracetamol,fever_cold,tier2,0.22,154
2022-01-03,Jalgaon,Azithromycin,antibiotic,tier2,0.22,118
2022-01-03,Jalgaon,ORS Sachets,OTC,tier2,0.22,133
